
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.0000040000,-0.0002440000,1.0035119057,-0.0000720000,0.0041340003,0.0370159969,0.0000000000,1.0000000000

Field Calibration Data
,Temperature,Cal Date,Slope,Offset
,Pressure,Cal Date,Slope,Offset
,Temperature(degC),unknown,1.000000,0.000
,Pressure(psi),unknown,1.000000,0.0000

Sensor/File information
Sensor SN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.10"
File Name,FCR_BV_20190415,,Exported,"Aqua4Plus 1.9.10"
# Records,  4725 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,3.94,13.640,
,Maximum,32.44,14.050,
,Mean,20.03,13.875,
,Variance,37.861,0.0058,
,Std Deviation,6.153,0.0760,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
1,15-Apr-19 11:06:18,13.44,13.793
2,15-Apr-19 11:21:18,13.00,13.797
3,15-Apr-19 11:36:18,13.38,13.800
4,15-Apr-19 11:51:18,13.81,13.798
5,15-Apr-19 12:06:18,13.75,13.808
6,15-Apr-19 12:21:18,13.38,13.808
7,15-Apr-19 12:36:18,13.38,13.810
8,15-Apr-19 12:51:18,14.00,13.812
9,15-Apr-19 13:06:18,14.06,13.812
10,15-Apr-19 13:21:18,13.56,13.812
11,15-Apr-19 13:36:18,12.88,13.819
12,15-Apr-19 13:51:18,12.81,13.821
13,15-Apr-19 14:06:18,12.75,13.825
14,15-Apr-19 14:21:18,12.44,13.827
15,15-Apr-19 14:36:18,12.31,13.829
16,15-Apr-19 14:51:18,12.38,13.830
17,15-Apr-19 15:06:18,12.13,13.830
18,15-Apr-19 15:21:18,11.81,13.830
19,15-Apr-19 15:36:18,11.94,13.827
20,15-Apr-19 15:51:18,11.13,13.838
21,15-Apr-19 16:06:18,11.00,13.838
22,15-Apr-19 16:21:18,11.00,13.841
23,15-Apr-19 16:36:18,10.94,13.842
24,15-Apr-19 16:51:18,10.94,13.843
25,15-Apr-19 17:06:18,11.06,13.843
26,15-Apr-19 17:21:18,11.00,13.851
27,15-Apr-19 17:36:18,11.19,13.852
