"Date","Depth","Temp_C","DO_mgL","Chla_ugL","Turb_NTU","SpCond_uScm","TP_ugL","TN_ugL","NH4_ugL","NO3NO2_ugL","SRP_ugL","DOC_mgL","TP_inf","TN_inf","NH4_inf","NO3NO2_inf","DOC_inf","SRP_inf","Kd","TN_TP","NH4NO3NO2_SRP","TN_TP_inf","NH4NO3_SRP_inf"
2013-05-02,0.1,16.802,8.93689,0.25,1.0456,37.42304944,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,1,16.7174,9.00548,0.3055,0.9953,37.32666982,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,1.6,16.036,9.04913,0.5475,1.1128,36.96206121,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,2.8,13.9807,9.3165,2.2614,1.566,36.87614464,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,3.8,10.1059,9.96922,2.4677,0.4414,34.91958864,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5,8.0569,8.49566,0.8451,0.5085,34.88195268,23.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5.2,7.9488,8.54128,0.7776,0.8274,34.95965756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5.5,7.7811,8.25276,0.7737,0.7603,35.07445721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,5.8,7.5851,7.82245,0.6626,0.7099,35.21290513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,6,7.4989,7.68406,0.615,0.7267,35.42073479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,6.2,7.4294,7.60784,0.6229,0.8106,35.31685523,18.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,8,7.1445,7.16381,0.5396,1.096,35.95811096,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,9,7.0818,6.42219,0.492,1.3478,36.7921072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-02,9.3,7.0681,6.36583,0.5079,1.5828,36.85168644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,0.1,14.6519,8.77974,0.0714,0.1896,36.60589491,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,1,14.4946,8.75546,1.0196,2.5898,36.69257048,20.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,1.6,14.4172,8.81686,1.8885,2.5731,36.67113724,26.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,2.8,13.0332,8.57746,1.5037,6.249,35.8350691,31.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,3.8,10.849,9.41018,2.0115,1.3142,34.91256118,21.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5,8.5162,8.18678,1.1942,0.2232,34.76268341,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5.2,8.2848,8.02788,1.0553,0.1896,34.6978143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5.5,8.0328,7.79448,0.8689,0.1896,34.86194386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,5.8,7.8266,7.69542,0.7618,0.2232,34.96067326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,6,7.7255,7.66842,0.6388,0.1896,35.10663756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,6.2,7.6494,7.51532,0.5713,0.4749,35.09486504,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,8,7.3703,6.14446,0.3769,0.9785,36.2581709,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,9,7.297,5.85841,0.3174,1.8681,36.86682651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-09,9.3,7.2842,5.57546,0.3214,1.2638,37.30657075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,0.1,15.7607,8.67911,1.345,2.8248,36.76630501,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,1,15.4593,8.64064,2.2455,3.0598,36.771485,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,1.6,14.8891,8.55827,2.309,4.4026,36.50392738,26.63333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,2.8,13.265,8.2207,3.5032,5.4936,36.77591168,27.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,3.8,10.754,8.47597,2.4122,3.3955,35.39740959,32.06666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,5,8.3859,7.08338,0.972,0.4414,35.76668716,31.93333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,5.2,8.2548,6.92177,0.8451,0.5085,35.86217719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,5.5,8.097,6.36383,0.7142,0.5589,36.08655035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,5.8,7.942,6.45763,0.6189,0.7267,36.0028876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,6,7.8778,6.08671,0.5555,0.6764,36.4562485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,6.2,7.8424,5.97742,0.5634,0.4917,36.43094472,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,8,7.6148,5.6676,0.4206,1.2303,36.85980809,24.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,9,7.5161,5.19382,0.4285,1.9184,37.61256892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-14,9.3,7.5106,5.15726,0.4721,2.0863,37.76800374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,0.1,16.4003,8.73976,1.1268,2.8584,37.11695183,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,1,16.1917,8.72002,1.5195,2.8416,37.18843336,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,1.6,14.9218,8.42262,2.0631,3.0095,36.51725823,26.96666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,2.8,13.1656,8.14895,3.166,5.8293,36.74067942,22.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,3.8,10.2493,8.21258,3.281,2.1199,35.41329641,42.23333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,5,8.6006,6.68185,1.2458,1.2638,36.41675063,27.96666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,5.2,8.3626,6.49977,1.2577,1.0456,35.91085096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,5.5,8.1515,6.59718,0.9879,0.5085,36.79628525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,5.8,8.0071,6.6443,0.8014,1.0792,36.72000059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,6,7.9723,6.60173,0.7459,1.1128,36.5368022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,6.2,7.9385,6.6072,0.6626,1.0792,36.82771609,29.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,8,7.8559,6.44711,0.6229,1.2638,37.05228547,23.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,9,7.8001,6.21298,0.6983,1.3813,36.91622161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-15,9.3,7.7736,6.0293,0.7261,1.2974,37.02786074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,0.1,18.3691,8.65139,0.98,2.1702,37.14477593,23.1,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,1,16.8125,8.72451,2.1345,2.5731,36.73756303,26.5,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,1.6,14.7794,8.71141,2.1226,3.0934,36.3788788,27.3,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,2.8,13.0021,8.33644,3.3326,3.8655,36.36012791,18.1,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,3.8,10.8986,8.58453,3.6381,1.801,35.60029691,52.4,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,5,8.383,7.40503,1.6306,0.7267,36.14660703,24,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,5.2,8.2115,7.45074,1.3489,1.0288,36.34790197,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,5.5,8.1505,7.41505,1.1744,1.0121,36.20783027,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,5.8,8.1084,7.35984,1.0315,0.9449,36.330397,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,6,8.1063,7.42519,1.0672,0.9449,36.23372365,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,6.2,8.1028,7.3737,1.1625,1.1967,36.27285794,30.7,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,8,7.9723,7.02542,0.8689,1.0121,36.25450788,23.1,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,9,7.9523,6.89551,0.7776,0.9785,36.40419928,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-16,9.3,7.9559,6.86627,0.9205,1.2638,36.43864154,NA,NA,NA,NA,NA,NA,49.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,0.1,18.9194,9.12374,1.4481,1.2638,36.97787549,24.35,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,1,17.4362,8.88409,3.4794,2.1199,36.73527969,25.25,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,1.6,15.7716,8.80647,4.0309,2.5898,36.62129599,24.4,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,2.8,13.9542,8.20188,3.9237,2.7577,36.81346206,23.1,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,3.8,11.8893,8.05838,3.9198,2.7577,36.69406656,36.5,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,5,8.8232,8.74056,3.3326,1.0121,36.12116191,24.4,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,5.2,8.7478,8.91297,2.4638,1.0456,36.17578845,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,5.5,8.7055,8.96755,2.3289,0.9281,36.20717243,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,5.8,8.6674,9.02985,1.9996,0.7267,36.1529586,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,6,8.6623,9.01957,2.0035,0.9953,36.08916858,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,6.2,8.6701,9.0162,2.071,0.6764,36.21331997,30.25,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,8,8.6389,9.01479,2.071,1.0121,36.12709961,21,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,9,8.5793,8.83946,2.0789,1.0456,36.10677316,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-21,9.3,8.5995,8.86847,1.6385,0.9953,36.1721423,NA,NA,NA,NA,NA,NA,41.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,0.1,21.0439,8.86852,2.5907,1.2638,37.31736657,25.6,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,1,18.9733,9.13621,3.0112,2.6402,37.14779677,24,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,1.6,16.4141,8.76921,3.7928,2.1367,37.01456626,21.5,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,2.8,13.5609,7.987,4.9513,2.657,37.20856842,28.1,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,3.8,10.3334,6.82175,5.0782,2.4388,35.9855434,20.6,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,5,8.7984,9.30791,3.0866,1.0792,36.10757978,24.8,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,5.2,8.7907,9.34307,2.6939,1.0121,36.08719217,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,5.5,8.7828,9.33003,2.5709,1.0121,36.18709517,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,5.8,8.7604,9.23984,2.5272,1.1296,36.23328276,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,6,8.7454,9.25369,2.6661,1.0121,36.20812216,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,6.2,8.739,9.21891,2.3289,1.096,36.03085457,29.8,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,8,8.6967,9.18879,2.3844,1.1128,36.27254455,18.9,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,9,8.6999,9.24922,2.19,1.0792,36.32752753,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-23,9.3,8.6955,9.15847,2.2733,1.0456,36.04412853,NA,NA,NA,NA,NA,NA,32.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,0.1,22.1139,8.63825,1.5116,0.9953,37.61010353,22.3,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,1,20.1045,9.67412,1.7417,1.0288,37.04578603,34.9,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,1.6,18.5253,9.98225,2.071,1.3645,36.83187502,23.8,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,2.8,14.8823,9.13549,4.6577,2.0192,38.16857804,26.2,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,3.8,11.3419,7.10113,6.562,1.7674,36.61007452,32.6,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,5,9.3129,10.54186,5.1258,1.6163,36.28175416,27,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,5.2,9.2795,10.55315,4.7529,1.1967,36.21329227,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,5.5,9.2624,10.57731,4.1062,1.2974,36.15427643,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,5.8,9.2421,10.59303,4.0904,1.2135,36.18467752,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,6,9.2378,10.59712,4.015,1.3813,36.1738352,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,6.2,9.2273,10.6077,4.0388,1.2638,36.23461686,25.4,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,8,9.1933,10.55084,4.0824,1.2638,36.02609673,30.2,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,9,9.1663,10.20716,4.1023,1.2974,36.20498563,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-05-30,9.3,9.1321,9.5271,4.2967,1.2471,36.39381395,NA,NA,NA,NA,NA,NA,36.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,0.1,23.6841,8.40487,1.8131,1.0456,37.8518712,25.3,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,1,22.9911,8.45173,2.7811,1.1296,37.79902314,30.35,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,1.6,20.7023,10.17858,3.0708,1.0456,37.12202407,32.65,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,2.8,15.4941,9.51063,5.3956,1.3813,38.25532832,29.7,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,3.8,11.6552,7.7284,6.1137,1.0121,36.61101292,30,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,5,9.5937,11.14075,3.8444,1.3478,36.36580752,24.35,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,5.2,9.5721,11.21969,3.5944,1.2638,36.44403091,NA,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,5.5,9.5545,11.28113,3.4516,1.2471,36.43676986,NA,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,5.8,9.5201,11.27027,3.285,1.331,36.33825042,NA,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,6,9.5137,11.2591,3.2096,1.2638,36.4246534,NA,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,6.2,9.5114,11.25197,3.0827,1.2638,36.42023277,28.9,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,8,9.4638,11.12755,3.0271,1.3813,36.44870284,32.95,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,9,9.4483,11.0571,3.3485,1.2638,36.55223131,NA,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-04,9.3,9.4274,10.75668,3.4596,1.3142,36.52947363,NA,NA,NA,NA,NA,NA,36.03333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,0.1,21.9342,6.64156,1.095,1.5995,37.11620654,28.3,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,1,22.1384,8.41054,1.0474,1.5828,37.68448639,25.8,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,1.6,21.0289,10.11006,1.3648,1.8345,37.61047141,41.5,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,2.8,15.5517,9.02333,6.8556,1.566,38.54422544,33.2,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,3.8,11.4643,7.86723,6.931,1.3478,36.96300069,27.4,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,5,9.6415,11.63027,3.6143,1.3478,36.83266312,21.7,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,5.2,9.6305,11.62356,3.4516,1.2974,36.65932637,NA,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,5.5,9.6223,11.63794,3.9039,1.331,36.71188948,NA,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,5.8,9.6167,11.66812,3.9079,1.3142,36.61492922,NA,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,6,9.6125,11.66078,3.7849,1.3142,36.9161948,NA,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,6.2,9.6093,11.64577,3.7333,1.2638,36.67878439,32.4,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,8,9.587,11.6316,3.1461,1.2638,36.78343627,35.7,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,9,9.5774,11.569,3.1382,1.2303,36.75124251,NA,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-06,9.3,9.556,11.33764,3.2175,1.6163,36.72885832,NA,NA,NA,NA,NA,NA,35.56666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,0.1,23.6155,8.96649,2.3249,2.0695,37.0997335,21.7,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,1,21.2973,10.3166,2.6383,2.3213,36.6453658,31.65,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,1.6,19.1545,10.5277,3.3643,2.5395,36.36165977,21.7,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,2.8,15.8601,9.26404,8.0617,3.5466,39.42734745,36.15,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,3.8,12.059,6.86968,8.8313,3.0095,37.41619886,22.5,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,5,9.9824,12.25437,2.3884,1.2974,37.05560983,23.4,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,5.2,9.9568,12.28457,2.3884,1.2638,37.08140239,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,5.5,9.9194,12.30896,2.2019,1.0288,36.8924098,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,5.8,9.9129,12.3276,2.1265,0.9953,37.02030884,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,6,9.9076,12.34,2.2733,0.9281,36.98641219,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,6.2,9.8992,12.31133,2.7375,0.9281,36.96395229,19.1,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,8,9.8665,12.15532,2.1265,0.9449,36.95949287,18.3,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,9,9.8544,12.05121,2.0115,1.0456,36.92772182,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-13,9.3,9.8544,12.05121,2.0115,1.0456,36.92772182,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-06-20,0.1,22.9495,7.45937,1.8925,0.7267,37.5744161,36.7,NA,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
