Date,Reservoir,Site_type,Distance_from_stream,Site,Dup,Chla_ugL,Flag_BDL
2019-04-29,B,R,2,B01,,2.0048,0
2019-04-29,B,S,0,B100,,0.2864,0
2019-04-29,B,R,1,B20,,1.66112,0
2019-04-29,B,S,0,B200,,1.336533333,0
2019-04-29,B,S,0,B200,DUP,1.336533333,0
2019-04-29,B,R,1,B30,,1.83296,0
2019-04-29,B,R,1,B30,DUP,2.0048,0
2019-04-29,B,R,2,B45,,2.69216,0
2019-04-29,B,R,3,B50,,2.69216,0
2019-04-29,F,S,0,F01,,1.31744,0
2019-04-29,F,S,0,F100,,1.1456,0
2019-04-29,F,S,0,F100,DUP,0.900114286,0
2019-04-29,F,S,0,F101,,1.48928,0
2019-04-29,F,S,0,F102,,2.0048,0
2019-04-29,F,R,1,F20,,1.83296,0
2019-04-29,F,S,0,F200,,0.654628571,0
2019-04-29,F,R,2,F30,,2.0048,0
2019-04-29,F,R,2,F45,,2.0048,0
2019-04-29,F,R,3,F50,,1.83296,0
2019-04-29,F,R,3,F50,DUP,2.0048,0
2019-04-29,F,R,0,F99,,0.654628571,0
2019-05-30,B,R,2,B01,,1.03104,0
2019-05-30,B,S,0,B100,,0.51552,0
2019-05-30,B,R,1,B20,,1.54656,0
2019-05-30,B,S,0,B200,,1.7184,0
2019-05-30,B,S,0,B200,DUP,1.7184,0
2019-05-30,B,R,1,B30,,1.7184,0
2019-05-30,B,R,1,B30,DUP,1.737707865,0
2019-05-30,B,R,2,B45,,1.03104,0
2019-05-30,B,R,3,B50,,1.37472,0
2019-05-30,F,S,0,F01,,0.8592,0
2019-05-30,F,S,0,F100,DUP,0.716,0
2019-05-30,F,S,0,F100,,0.51552,0
2019-05-30,F,S,0,F101,,0.51552,0
2019-05-30,F,S,0,F102,,0.8592,0
2019-05-30,F,R,1,F20,,4.81152,0
2019-05-30,F,S,0,F200,,0.68736,0
2019-05-30,F,R,2,F30,,4.63968,0
2019-05-30,F,R,2,F45,,4.63968,0
2019-05-30,F,R,2,F45,DUP,4.46784,0
2019-05-30,F,R,3,F50,,3.78048,0
2019-05-30,F,S,0,F99,,0.51552,0
2019-06-27,B,R,2,B01,,0.8592,0
2019-06-27,B,S,0,B100,,0.30504142,0
2019-06-27,B,R,1,B20,,1.37472,0
2019-06-27,B,S,0,B200,,0.51552,0
2019-06-27,B,R,1,B30,,1.11696,0
2019-06-27,B,R,2,B45,,1.11696,0
2019-06-27,B,R,3,B50,,0.8592,0
2019-06-27,B,R,3,B50,DUP,0.560783217,0
2019-06-27,F,S,0,F01,,2.245145729,0
2019-06-27,F,S,0,F100,,0.303247059,0
2019-06-27,F,S,0,F101,,0.433939394,0
2019-06-27,F,S,0,F102,,0.399627907,0
2019-06-27,F,R,1,F20,,9.62304,0
2019-06-27,F,S,0,F200,,0.365617021,0
2019-06-27,F,R,2,F30,,8.592,0
2019-06-27,F,R,2,F30,DUP,8.592,0
2019-06-27,F,R,2,F45,DUP,9.4512,0
2019-06-27,F,R,2,F45,,10.0956,0
2019-06-27,F,R,3,F50,DUP,9.4512,0
2019-06-27,F,R,3,F50,,7.21728,0
2019-06-27,F,S,0,F99,,0.278659459,0
2019-07-18,B,R,2,B01,,1.669302857,0
2019-07-18,B,S,0,B100,,0.08592,1
2019-07-18,B,R,1,B20,,2.06208,0
2019-07-18,B,S,0,B200,,1.20288,0
2019-07-18,B,R,1,B30,,2.2912,0
2019-07-18,B,R,2,B45,,1.83296,0
2019-07-18,B,R,3,B50,DUP,1.48928,0
2019-07-18,B,R,3,B50,,1.49426087,0
2019-07-18,F,S,0,F01,,1.996121212,0
2019-07-18,F,S,0,F100,,0.25776,0
2019-07-18,F,S,0,F101,,0.17184,1
2019-07-18,F,R,1,F20,,18.21504,0
2019-07-18,F,S,0,F200,,1.1456,0
2019-07-18,F,R,2,F30,,17.184,0
2019-07-18,F,R,2,F45,,14.09088,0
2019-07-18,F,R,3,F50,DUP,15.4656,0
2019-07-18,F,R,3,F50,,15.12192,0
2019-07-18,F,S,0,F99,,0.17184,1
2019-07-22,F,S,0,F102,,0.25776,0
2019-08-22,B,R,2,B01,,5.75664,0
2019-08-22,B,S,0,B100,,0.495692308,0
2019-08-22,B,R,1,B20,,5.92848,0
2019-08-22,B,S,0,B200,,1.3425,0
2019-08-22,B,R,1,B30,,6.35808,0
2019-08-22,B,R,2,B45,,4.448649746,0
2019-08-22,B,R,3,B50,,4.55376,0
2019-08-22,F,S,0,F01,,6.241358491,0
2019-08-22,F,S,0,F100,,0.956881671,0
2019-08-22,F,S,0,F101,,1.598511628,0
2019-08-22,F,S,0,F102,,0.080865882,1
2019-08-22,F,R,1,F20,,41.48708571,0
2019-08-22,F,S,0,F200,,0.729509434,0
2019-08-22,F,R,2,F30,,36.6592,0
2019-08-22,F,R,2,F45,,36.0864,0
2019-08-22,F,R,2,F45,dup,35.05536,0
2019-08-22,F,R,3,F50,,35.8,0
2019-08-22,F,R,3,F50,dup,30.3584,0
2019-08-22,F,S,0,F99,,0.60144,0
